actor_id,actor_name,actor_type,associated_country,threat_level,first_seen,last_seen,num_known_transactions,num_known_aliases,confidence_score
ACTOR_00018,Actor_9605,drug_trafficker,China,high,2023-07-18,2024-07-10,260,3,0.7517414582849572
ACTOR_00019,Actor_1313,money_launderer,Romania,low,2023-04-07,2024-09-26,384,1,0.7373898987367303
ACTOR_00020,Actor_7272,drug_trafficker,Iran,low,2023-12-12,2024-10-16,420,9,0.8388639620687681
ACTOR_00021,Actor_8619,hacker_collective,North Korea,high,2023-07-30,2024-07-08,481,8,0.48746416417376215
ACTOR_00022,Actor_2432,ransomware_group,Russia,medium,2023-12-25,2024-08-23,454,8,0.7170125837025659
ACTOR_00023,Actor_1337,hacker_collective,North Korea,medium,2023-01-16,2024-11-25,451,0,0.6635947765532921
ACTOR_00024,Actor_5341,ransomware_group,Iran,medium,2023-01-05,2024-01-24,291,3,0.6069307546584815
ACTOR_00025,Actor_8816,drug_trafficker,Ukraine,high,2023-06-24,2024-02-06,289,8,0.35564101715862256
ACTOR_00026,Actor_1557,drug_trafficker,Iran,critical,2023-11-11,2024-06-16,135,3,0.5048402006089889
ACTOR_00027,Actor_5299,ransomware_group,Russia,medium,2023-07-11,2024-08-10,105,1,0.4959871997931186
ACTOR_00028,Actor_8048,hacker_collective,Brazil,medium,2023-11-16,2024-01-02,227,1,0.8069756700148007
ACTOR_00029,Actor_2216,cybercriminal,China,medium,2023-02-17,2024-06-14,439,9,0.9444592946473043
ACTOR_00030,Actor_4430,cybercriminal,Ukraine,low,2023-09-13,2024-03-04,377,8,0.461551056013794
ACTOR_00031,Actor_6673,hacker_collective,Brazil,medium,2023-08-29,2024-08-23,431,3,0.3522367572239281
ACTOR_00032,Actor_9927,drug_trafficker,Russia,critical,2023-07-18,2024-04-07,190,0,0.999969868058139
ACTOR_00033,Actor_3265,ransomware_group,North Korea,high,2023-05-28,2024-11-25,195,0,0.7838437310938383
ACTOR_00034,Actor_5668,ransomware_group,Unknown,medium,2023-08-25,2024-01-24,64,0,0.9205295928931803
ACTOR_00035,Actor_9373,hacker_collective,China,high,2023-07-20,2024-10-22,377,7,0.4007155911046574
ACTOR_00036,Actor_6690,hacker_collective,Unknown,medium,2023-04-10,2024-05-23,171,0,0.860537628782158
ACTOR_00037,Actor_6069,money_launderer,Romania,critical,2023-02-08,2024-11-08,18,4,0.86932662219167
ACTOR_00038,Actor_1207,ransomware_group,Unknown,low,2023-05-22,2024-10-24,259,8,0.4060422481934264
ACTOR_00039,Actor_2193,money_launderer,China,critical,2023-07-07,2024-03-28,315,3,0.412982926065867
ACTOR_00040,Actor_5234,drug_trafficker,North Korea,high,2023-07-05,2024-01-19,372,8,0.5068158512852607
ACTOR_00041,Actor_2189,ransomware_group,Brazil,low,2023-06-05,2024-09-10,190,4,0.4517512133450178
ACTOR_00042,Actor_5664,hacker_collective,Romania,medium,2023-04-30,2024-03-15,295,8,0.9827869356396157
ACTOR_00043,Actor_2658,hacker_collective,Iran,medium,2023-05-08,2024-12-05,475,1,0.5540606835455041
ACTOR_00044,Actor_8563,drug_trafficker,North Korea,low,2023-04-08,2024-01-25,320,7,0.8329144882370447
ACTOR_00045,Actor_1425,cybercriminal,Brazil,medium,2023-07-31,2024-04-28,457,6,0.8635355624378707
ACTOR_00046,Actor_6029,money_launderer,Iran,low,2023-11-07,2024-01-05,253,6,0.5701586210082721
ACTOR_00047,Actor_6064,hacker_collective,Iran,medium,2023-11-18,2024-04-25,81,2,0.7778098879976347
ACTOR_00048,Actor_5857,ransomware_group,China,medium,2023-12-29,2024-07-16,60,9,0.37546009862700896
ACTOR_00049,Actor_1568,ransomware_group,China,medium,2023-02-02,2024-08-27,105,1,0.5778734360373552
ACTOR_00050,Actor_1230,ransomware_group,Russia,high,2023-03-20,2024-09-22,426,9,0.9771174620664298
ACTOR_00051,Actor_1994,drug_trafficker,Brazil,high,2023-09-24,2024-10-31,365,0,0.41797145773952254
ACTOR_00052,Actor_5039,cybercriminal,Romania,critical,2023-08-24,2024-02-10,261,0,0.5699979132904418
ACTOR_00053,Actor_6919,money_launderer,Ukraine,medium,2023-02-18,2024-10-05,255,6,0.8533650569244227
ACTOR_00054,Actor_9981,ransomware_group,Unknown,high,2023-08-19,2024-04-11,46,8,0.765796278437322
ACTOR_00055,Actor_3625,ransomware_group,Unknown,medium,2023-05-29,2024-02-20,132,0,0.7420630211020789
ACTOR_00056,Actor_5438,hacker_collective,Unknown,high,2023-12-16,2024-04-06,14,9,0.8972802215396956
ACTOR_00057,Actor_2612,cybercriminal,Ukraine,low,2023-11-09,2024-11-09,477,3,0.3203656901165883
ACTOR_00058,Actor_9530,hacker_collective,Unknown,medium,2023-01-27,2024-08-16,267,1,0.8398150577273944
ACTOR_00059,Actor_8202,drug_trafficker,Ukraine,high,2023-02-02,2024-08-06,444,7,0.9177843274510729
ACTOR_00060,Actor_7041,drug_trafficker,Ukraine,high,2023-06-02,2024-08-01,22,8,0.3113221342473378
ACTOR_00061,Actor_1585,money_launderer,Russia,low,2023-01-04,2024-05-29,106,2,0.6912740657751139
ACTOR_00062,Actor_6605,drug_trafficker,Iran,low,2023-02-04,2024-06-01,5,2,0.5440119396474414
ACTOR_00063,Actor_1421,money_launderer,Russia,low,2023-12-07,2024-02-24,181,6,0.3355338961694799
ACTOR_00064,Actor_2313,hacker_collective,Brazil,critical,2023-10-17,2024-05-01,396,8,0.5924236835227004
ACTOR_00065,Actor_4842,ransomware_group,Romania,low,2023-09-03,2024-07-05,149,6,0.7508210988203201
ACTOR_00066,Actor_8459,ransomware_group,China,critical,2023-10-31,2024-08-09,335,6,0.9433095421125746
ACTOR_00067,Actor_8939,cybercriminal,North Korea,critical,2023-04-02,2024-01-27,280,1,0.7343713405472498
ACTOR_00068,Actor_7521,drug_trafficker,Iran,high,2023-09-22,2024-05-01,13,0,0.8997201570891908
ACTOR_00069,Actor_2177,cybercriminal,Iran,high,2023-08-13,2024-05-03,352,1,0.38510005467219555
ACTOR_00070,Actor_2666,cybercriminal,Russia,critical,2023-11-06,2024-07-07,26,5,0.4473648172661939
ACTOR_00071,Actor_5528,ransomware_group,China,low,2023-04-14,2024-09-16,40,9,0.9792050049501975
ACTOR_00072,Actor_7957,drug_trafficker,China,low,2023-10-06,2024-08-19,282,7,0.9211804831795107
ACTOR_00073,Actor_9706,ransomware_group,Ukraine,high,2023-11-08,2024-07-27,484,7,0.4646588671140178
ACTOR_00074,Actor_4329,cybercriminal,Brazil,low,2023-07-20,2024-04-16,429,5,0.7346817172583056
ACTOR_00075,Actor_6461,drug_trafficker,Romania,low,2023-06-01,2024-11-02,286,1,0.5538429309699727
ACTOR_00076,Actor_5597,ransomware_group,Iran,low,2023-12-13,2024-10-13,64,8,0.6280189561101848
ACTOR_00077,Actor_5974,money_launderer,Russia,medium,2023-03-03,2024-03-08,111,9,0.9026147043646031
ACTOR_00078,Actor_6172,money_launderer,Unknown,medium,2023-01-14,2024-08-27,329,3,0.814998827093123
ACTOR_00079,Actor_7571,hacker_collective,Ukraine,low,2023-03-07,2024-11-26,88,4,0.4669097932040667
ACTOR_00080,Actor_3014,hacker_collective,Iran,medium,2023-09-07,2024-06-07,124,0,0.5211951522878177
ACTOR_00081,Actor_7818,drug_trafficker,Unknown,high,2023-10-15,2024-12-03,422,8,0.5027973218732984
ACTOR_00082,Actor_9642,hacker_collective,North Korea,critical,2023-09-19,2024-01-09,146,9,0.8464639448385209
ACTOR_00083,Actor_9725,drug_trafficker,China,low,2023-06-03,2024-07-07,393,0,0.6430618947957818
ACTOR_00084,Actor_7675,cybercriminal,Ukraine,low,2023-12-20,2024-04-03,214,6,0.9655070149170701
ACTOR_00085,Actor_5818,money_launderer,Iran,medium,2023-06-12,2024-04-05,440,8,0.8716810240603357
ACTOR_00086,Actor_2543,drug_trafficker,North Korea,critical,2023-12-25,2024-11-16,128,2,0.4478361015982069
ACTOR_00087,Actor_2689,cybercriminal,Unknown,medium,2023-12-02,2024-04-23,294,1,0.8501599567481848
ACTOR_00088,Actor_6682,money_launderer,Iran,low,2023-05-29,2024-01-09,149,9,0.6542555430497488
ACTOR_00089,Actor_3293,ransomware_group,North Korea,low,2023-02-28,2024-07-15,327,7,0.4775970883264935
ACTOR_00090,Actor_9437,cybercriminal,Iran,medium,2023-02-02,2024-12-20,140,3,0.554332219972523
ACTOR_00091,Actor_4114,ransomware_group,North Korea,medium,2023-07-13,2024-01-29,292,0,0.9804882817203353
ACTOR_00092,Actor_9584,hacker_collective,North Korea,high,2023-10-06,2024-04-14,122,7,0.6387730098088874
ACTOR_00093,Actor_5258,drug_trafficker,Unknown,high,2023-03-06,2024-06-20,11,5,0.803724094727464
ACTOR_00094,Actor_5607,money_launderer,China,medium,2023-04-27,2024-10-30,384,5,0.6339597066139404
ACTOR_00095,Actor_3193,hacker_collective,Russia,medium,2023-08-19,2024-04-08,451,3,0.5600900916922835
ACTOR_00096,Actor_8578,cybercriminal,North Korea,medium,2023-06-18,2024-05-05,283,5,0.8574940127815509
ACTOR_00097,Actor_8411,hacker_collective,China,high,2023-08-09,2024-05-20,252,1,0.8938270462425439
ACTOR_00098,Actor_7950,ransomware_group,Brazil,low,2023-09-04,2024-05-18,447,5,0.35032241596610925
ACTOR_00099,Actor_3616,ransomware_group,Russia,high,2023-05-19,2024-03-14,455,1,0.49528431239216636
